redshift,lum_dist
5.54,52603.49936393889
5.55,52714.39350923326
5.5600000000000005,52825.31145434624
5.57,52936.253142731905
5.58,53047.21851807386
5.59,53158.20752428384
5.6000000000000005,53269.22010550035
5.61,53380.25620608741
5.62,53491.315770633264
5.63,53602.398743948965
5.64,53713.5050710672
5.65,53824.634697241025
5.66,53935.787567942476
5.67,54046.96362886145
5.68,54158.16282590436
5.69,54269.38510519293
5.7,54380.63041306299
5.71,54491.898696063196
5.72,54603.189900953905
5.73,54714.50397470586
5.74,54825.840864499136
5.75,54937.20051772179
5.76,55048.58288196885
5.7700000000000005,55159.987905041016
5.78,55271.41553494359
5.79,55382.8657198853
5.8,55494.33840827714
5.8100000000000005,55605.83354873125
5.82,55717.3510900598
5.83,55828.89098127384
5.84,55940.453171582274
5.8500000000000005,56052.03761039067
5.86,56163.64424730018
5.87,56275.273032106525
5.88,56386.923914798856
5.89,56498.596845558684
5.9,56610.29177475889
5.91,56722.00865296252
5.92,56833.74743092199
5.93,56945.50805957776
5.94,57057.290490057545
5.95,57169.09467367513
5.96,57280.92056192942
5.97,57392.768106503434
5.98,57504.637259263356
5.99,57616.5279722574
6.0,57728.440197714925
6.01,57840.37388804546
6.0200000000000005,57952.32899583771
6.03,58064.30547385856
6.04,58176.303275052174
6.05,58288.322352539006
6.0600000000000005,58400.362659614846
6.07,58512.42414974989
6.08,58624.50677658786
6.09,58736.61049394501
6.1000000000000005,58848.735255809195
6.11,58960.88101633904
6.12,59073.047729862956
6.13,59185.23535087829
6.140000000000001,59297.44383405044
6.15,59409.67313421185
6.16,59521.923206361316
6.17,59634.19400566295
6.18,59746.4854874454
6.19,59858.79760720096
6.2,59971.13032058469
6.21,60083.48358341361
6.22,60195.85735166581
6.23,60308.25158147967
6.24,60420.666229152936
6.25,60533.101251142
6.26,60645.55660406096
6.2700000000000005,60758.032244680915
6.28,60870.528129929065
6.29,60983.044216887974
6.3,61095.58046279471
6.3100000000000005,61208.136825040085
6.32,61320.71326116784
6.33,61433.3097288739
6.34,61545.92618600558
6.3500000000000005,61658.562590560774
6.36,61771.21890068724
6.37,61883.895074681786
6.38,61996.59107098957
6.390000000000001,62109.30684820332
6.4,62222.04236506245
6.41,62334.797580452636
6.42,62447.572453404784
6.43,62560.36694309439
6.44,62673.18100884087
6.45,62786.01461010673
6.46,62898.86770649695
6.47,63011.74025775819
6.48,63124.63222377812
6.49,63237.54356458472
6.5,63350.474240345546
6.51,63463.42421136708
6.5200000000000005,63576.39343809399
6.53,63689.38188110847
6.54,63802.38950112957
6.55,63915.416259012476
6.5600000000000005,64028.462115747876
6.57,64141.527032461294
6.58,64254.61097041237
6.59,64367.71389099425
6.6000000000000005,64480.83575573297
6.61,64593.97652628664
6.62,64707.13616444502
6.63,64820.314632128684
6.640000000000001,64933.51189138851
6.65,65046.72790440497
6.66,65159.962633487514
6.67,65273.216041073974
6.68,65386.48808972989
6.69,65499.77874214796
6.7,65613.08796114734
6.71,65726.41570967308
6.72,65839.76195079552
6.73,65953.12664770972
6.74,66066.50976373474
6.75,66179.91126231317
6.76,66293.33110701044
6.7700000000000005,66406.76926151436
6.78,66520.22568963439
6.79,66633.70035530113
6.8,66747.19322256571
6.8100000000000005,66860.70425559935
6.82,66974.23341869254
6.83,67087.7806762547
6.84,67201.3459928135
6.8500000000000005,67314.92933301434
6.86,67428.53066161975
6.87,67542.1499435089
6.88,67655.78714367704
6.890000000000001,67769.44222723487
6.9,67883.1151594081
6.91,67996.80590553686
6.92,68110.51443107518
6.93,68224.24070159048
6.94,68337.98468276294
6.95,68451.74634038504
6.96,68565.52564036117
6.97,68679.32254870683
6.98,68793.13703154837
6.99,68906.96905512227
7.0,69020.81858577482
7.01,69134.68558996149
7.0200000000000005,69248.5700342464
7.03,69362.47188530202
7.04,69476.39110990835
7.05,69590.3276749527
7.0600000000000005,69704.28154742911
7.07,69818.25269443779
7.08,69932.24108318474
7.09,70046.24668098117
7.1000000000000005,70160.26945524316
7.11,70274.30937349098
7.12,70388.3664033488
7.13,70502.44051254407
7.140000000000001,70616.53166890725
7.15,70730.63984037106
7.16,70844.76499497028
7.17,70958.90710084117
7.18,71073.06612622095
7.19,71187.24203944753
7.2,71301.43480895882
7.21,71415.6444032925
7.22,71529.87079108543
7.23,71644.11394107329
7.24,71758.37382209004
7.25,71872.65040306759
7.26,71986.94365303527
7.2700000000000005,72101.25354111945
7.28,72215.58003654321
7.29,72329.92310862549
7.3,72444.28272678134
7.3100000000000005,72558.65886052087
7.32,72673.05147944915
7.33,72787.46055326573
7.34,72901.88605176422
7.3500000000000005,73016.32794483186
7.36,73130.78620244909
7.37,73245.26079468921
7.38,73359.7516917179
7.390000000000001,73474.25886379286
7.4,73588.78228126334
7.41,73703.32191456982
7.42,73817.8777342436
7.43,73932.44971090637
7.44,74047.03781526982
7.45,74161.6420181352
7.46,74276.26229039313
7.47,74390.89860302294
7.48,74505.55092709247
7.49,74620.21923375763
7.5,74734.90349426195
7.51,74849.60367993641
7.5200000000000005,74964.3197621988
7.53,75079.05171255356
7.54,75193.79950259118
7.55,75308.56310398821
7.5600000000000005,75423.34248850639
7.57,75538.13762799269
7.58,75652.9484943788
7.59,75767.77505968067
7.6000000000000005,75882.61729599843
7.61,75997.47517551557
7.62,76112.34867049918
7.63,76227.23775329899
7.640000000000001,76342.1423963476
7.65,76457.06257215956
7.66,76571.99825333143
7.67,76686.94941254133
7.68,76801.91602254855
7.69,76916.8980561932
7.7,77031.89548639582
7.71,77146.90828615733
7.72,77261.93642855824
7.73,77376.97988675875
7.74,77492.03863399808
7.75,77607.11264359439
7.76,77722.20188894423
7.7700000000000005,77837.3063435224
7.78,77952.4259808816
7.79,78067.56077465187
7.8,78182.71069854066
7.8100000000000005,78297.87572633213
7.82,78413.05583188713
7.83,78528.25098914266
7.84,78643.4611721117
7.8500000000000005,78758.68635488287
7.86,78873.92651161995
7.87,78989.18161656194
7.88,79104.45164402231
7.890000000000001,79219.73656838905
7.9,79335.03636412414
7.91,79450.35100576334
7.92,79565.68046791591
7.930000000000001,79681.02472526426
7.94,79796.38375256366
7.95,79911.75752464187
7.96,80027.1460163991
7.97,80142.54920280736
